               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.026902,            0.035784,           0.0021993,             0.91084,              0.8426,             0.90896,             0.64722,            0.023172,            0.054465,           0.0020243,            0.006931,            0.006931,            0.006931
                  64,            0.026396,            0.035187,           0.0022201,             0.89735,             0.84459,             0.90369,             0.64716,            0.023052,            0.054134,            0.002025,           0.0068815,           0.0068815,           0.0068815
                  65,            0.026714,            0.035356,           0.0022897,             0.90146,             0.86011,             0.91728,             0.64523,            0.023174,            0.054323,           0.0018962,            0.006832,            0.006832,            0.006832
                  66,            0.026688,            0.036009,           0.0022781,              0.9117,             0.85609,             0.91637,             0.64576,            0.023115,            0.053787,            0.002007,           0.0067825,           0.0067825,           0.0067825
                  67,            0.026504,            0.035209,           0.0022233,             0.90933,             0.85571,             0.91476,             0.65452,            0.023019,            0.053751,           0.0018863,            0.006733,            0.006733,            0.006733
                  68,            0.026539,            0.035253,           0.0022524,             0.91211,             0.84346,             0.91955,             0.65408,            0.022701,            0.053283,           0.0018765,           0.0066835,           0.0066835,           0.0066835
                  69,             0.02655,            0.034749,           0.0022201,              0.9271,             0.84364,               0.909,             0.65283,            0.022817,            0.053274,           0.0018759,            0.006634,            0.006634,            0.006634
                  70,            0.026281,            0.035075,           0.0022232,             0.89217,             0.86311,             0.91604,             0.65742,            0.022652,            0.053347,           0.0018242,           0.0065845,           0.0065845,           0.0065845
                  71,            0.026532,            0.035418,           0.0022028,             0.90963,             0.84536,             0.90769,             0.64546,            0.022916,            0.053676,           0.0019907,            0.006535,            0.006535,            0.006535
                  72,            0.026189,            0.035108,           0.0020874,             0.91864,              0.8448,             0.91028,             0.66267,            0.022577,            0.052794,           0.0019033,           0.0064855,           0.0064855,           0.0064855
                  73,            0.026286,            0.035145,           0.0022043,             0.92443,             0.85146,             0.91588,             0.65803,            0.022562,            0.053412,           0.0018873,            0.006436,            0.006436,            0.006436
                  74,            0.026179,            0.034687,           0.0021723,             0.91684,             0.86753,             0.92182,             0.66065,            0.022582,            0.052813,           0.0018923,           0.0063865,           0.0063865,           0.0063865
                  75,            0.026055,             0.03479,            0.002204,             0.91427,              0.8672,             0.91618,             0.66337,            0.022439,            0.052386,           0.0018769,            0.006337,            0.006337,            0.006337
                  76,            0.025944,            0.034495,           0.0021593,             0.92381,             0.86336,              0.9239,             0.66796,            0.022452,            0.052698,           0.0017967,           0.0062875,           0.0062875,           0.0062875
                  77,            0.025874,            0.034498,           0.0022235,             0.92745,             0.85108,             0.91859,             0.66676,            0.022279,            0.052512,           0.0017745,            0.006238,            0.006238,            0.006238
                  78,             0.02593,            0.034646,           0.0020939,             0.91429,             0.86261,             0.91466,             0.66595,            0.022284,            0.052219,           0.0018303,           0.0061885,           0.0061885,           0.0061885
                  79,            0.025992,            0.034435,           0.0020711,             0.90828,             0.84941,             0.91233,             0.66495,            0.022319,            0.052384,           0.0018199,            0.006139,            0.006139,            0.006139
                  80,            0.025589,            0.034048,            0.002008,             0.89952,             0.84016,             0.91193,             0.66247,            0.022139,            0.052392,            0.001746,           0.0060895,           0.0060895,           0.0060895
                  81,            0.025738,            0.034251,           0.0020962,             0.89414,             0.87218,             0.92653,             0.67218,            0.022174,            0.052215,           0.0017917,             0.00604,             0.00604,             0.00604
                  82,            0.025703,            0.033914,           0.0021006,             0.90306,             0.85978,             0.91834,             0.66482,            0.022183,            0.051938,           0.0018361,           0.0059905,           0.0059905,           0.0059905
                  83,            0.025738,             0.03424,           0.0021046,             0.90565,                0.86,             0.92259,             0.67111,            0.022107,            0.052222,           0.0017991,            0.005941,            0.005941,            0.005941
